,prov,soum,year,var,sd,mean,m
110,Töv,Lun,2019,ht,1.393540915,9.534448017,0.832205222
111,Töv,Lun,2019,vol,5.527019203,27.53981268,0.833064076
112,Töv,Mungunmor,2019,cover,5.304356339,77.66755922,0.814247949
113,Töv,Mungunmor,2019,ht,1.603563588,11.22972234,0.752747059
114,Töv,Mungunmor,2019,vol,7.217053282,35.08288028,0.758864501
115,Töv,Undursh,2019,cover,4.163227436,71.99918633,0.83414709
116,Töv,Undursh,2019,ht,1.29967421,9.440175037,0.797612114
117,Töv,Undursh,2019,vol,5.116614036,27.33081247,0.804410485
118,Töv,Sergelen,2019,cover,3.94085414,73.63738796,0.827128257
119,Töv,Sergelen,2019,ht,1.17313793,9.750726048,0.771061419
120,Töv,Sergelen,2019,vol,4.844325,28.83006627,0.784798295
121,Töv,Sumber,2019,cover,4.258472064,74.8759579,0.840807689
122,Töv,Sumber,2019,ht,1.162065066,10.49503806,0.734103011
123,Töv,Sumber,2019,vol,5.182950487,31.46231003,0.76354414
124,Töv,Tseel,2019,cover,3.718656242,74.71694365,0.849633333
125,Töv,Tseel,2019,ht,1.011823415,10.3599055,0.763971142
126,Töv,Tseel,2019,vol,4.366140611,31.01627393,0.78833274
127,Töv,Ugtaalts,2019,cover,4.353894546,73.57077219,0.866322227
128,Töv,Ugtaalts,2019,ht,1.283502156,10.00414196,0.821050019
129,Töv,Ugtaalts,2019,vol,5.331415518,29.52682598,0.829619507
130,Töv,Zaamar,2019,cover,5.168247992,70.47499898,0.848158524
131,Töv,Zaamar,2019,ht,1.520930864,9.318171911,0.818611823
132,Töv,Zaamar,2019,vol,5.963106488,26.45278919,0.821087013
133,Dundgovi,Adaatsag,2020,cover,4.591417979,57.04259493,0.92159296
134,Dundgovi,Adaatsag,2020,ht,0.512629553,6.936168402,0.755899631
135,Dundgovi,Adaatsag,2020,vol,2.318783276,15.88121682,0.867107041
136,Dundgovi,Bayanjar,2020,cover,4.763580043,59.44378836,0.846631651
137,Dundgovi,Bayanjar,2020,ht,0.576218713,7.052827274,0.743477661
138,Dundgovi,Bayanjar,2020,vol,2.62997804,16.84259475,0.797029474
139,Dundgovi,Delgerkh,2020,cover,0.717648131,53.00362606,0.844950286
140,Dundgovi,Delgerkh,2020,ht,0.172016945,6.906476722,0.637108572
141,Dundgovi,Delgerkh,2020,vol,0.485649596,14.66019668,0.742126559
142,Dundgovi,Delgert,2020,cover,3.425014927,55.56687712,0.903242144
143,Dundgovi,Delgert,2020,ht,0.405562535,6.950512303,0.670122803
144,Dundgovi,Delgert,2020,vol,1.696917005,15.47600821,0.816469381
145,Dundgovi,Deren,2020,cover,3.664721621,56.85229245,0.903676123
146,Dundgovi,Deren,2020,ht,0.447750291,6.931944437,0.730776385
147,Dundgovi,Deren,2020,vol,1.739050204,15.7886535,0.822499514
148,Dundgovi,Erdened,2020,cover,2.642546495,54.4535231,0.903716917
149,Dundgovi,Erdened,2020,ht,0.315820494,6.963414573,0.639921664
150,Dundgovi,Erdened,2020,vol,1.235309165,15.18266405,0.793892976
151,Dundgovi,Govi_Ugt,2020,cover,4.902416725,59.27164887,0.906606605
152,Dundgovi,Govi_Ugt,2020,ht,0.614098876,7.230677146,0.74500098
153,Dundgovi,Govi_Ugt,2020,vol,2.695202783,17.20940209,0.834410527
154,Dundgovi,Gurvansai,2020,cover,3.08199375,55.38744112,0.861711822
155,Dundgovi,Gurvansai,2020,ht,0.340699096,6.95348262,0.720692566
156,Dundgovi,Gurvansai,2020,vol,1.331929601,15.421586,0.810471291
157,Dundgovi,Khuld,2020,cover,0.762498724,53.01805063,0.827665298
158,Dundgovi,Khuld,2020,ht,0.1934099,6.871765939,0.676689759
159,Dundgovi,Khuld,2020,vol,0.520107648,14.58533493,0.732503821
160,Dundgovi,Luus,2020,cover,2.402525418,53.99384391,0.823070256
161,Dundgovi,Luus,2020,ht,0.30191355,6.859825443,0.644264124
162,Dundgovi,Luus,2020,vol,1.148102925,14.83021864,0.75515742
163,Dundgovi,Ulziit,2020,cover,2.329043118,54.15708531,0.891208335
164,Dundgovi,Ulziit,2020,ht,0.296890391,6.861511485,0.790806604
165,Dundgovi,Ulziit,2020,vol,1.104203564,14.87247923,0.87113542
166,Dundgovi,Undurshil,2020,cover,3.335362776,56.21015347,0.873040689
167,Dundgovi,Undurshil,2020,ht,0.331434203,6.924824286,0.755560471
168,Dundgovi,Undurshil,2020,vol,1.293804851,15.57879088,0.803121781
169,Dundgovi,Saikhan_O,2020,cover,1.93739364,53.53565798,0.83184929
170,Dundgovi,Saikhan_O,2020,ht,0.268034341,6.989171685,0.609558702
171,Dundgovi,Saikhan_O,2020,vol,1.134858322,14.99834116,0.705250868
172,Dundgovi,Saintsag,2020,cover,3.210384977,55.35882528,0.853680255
173,Dundgovi,Saintsag,2020,ht,0.353632048,6.926413441,0.669789463
174,Dundgovi,Saintsag,2020,vol,1.433393359,15.35590954,0.784303997
175,Dundgovi,Tsagaan,2020,cover,4.810749287,61.23020877,0.879099592
176,Dundgovi,Tsagaan,2020,ht,0.673538187,7.290060727,0.831904916
177,Dundgovi,Tsagaan,2020,vol,3.093738091,17.97002863,0.859116574
178,Govisümber,Bayantal,2020,cover,4.190006542,69.91215517,0.891160293
179,Govisümber,Bayantal,2020,ht,1.06297163,8.572728265,0.883730627
180,Govisümber,Bayantal,2020,vol,4.496033406,24.14250901,0.885244276
181,Govisümber,Shiveegovi,2020,cover,4.694806141,60.30238595,0.845549505
182,Govisümber,Shiveegovi,2020,ht,0.653546193,7.296827652,0.726966622
183,Govisümber,Shiveegovi,2020,vol,2.842902216,17.67518359,0.787034528
184,Govisümber,SumberG,2020,cover,6.913221785,68.1295737,0.936511404
185,Govisümber,SumberG,2020,ht,1.322081501,8.510206551,0.897205249
186,Govisümber,SumberG,2020,vol,5.901607236,23.52256877,0.911600932
187,Töv,Altanbulag,2020,cover,5.348832556,69.32439141,0.889245364
188,Töv,Altanbulag,2020,ht,1.212790102,8.457110252,0.85197448
189,Töv,Altanbulag,2020,vol,5.093480753,23.67910622,0.862837845
190,Töv,Argalant,2020,cover,5.311134489,69.28287098,0.895554322
191,Töv,Argalant,2020,ht,1.294889958,8.417371969,0.871776018
192,Töv,Argalant,2020,vol,5.426947511,23.56907113,0.876384698
193,Töv,Arkhust,2020,cover,2.968063276,75.50189962,0.79950054
194,Töv,Arkhust,2020,ht,0.873300367,10.14415489,0.776503157
195,Töv,Arkhust,2020,vol,3.736873554,30.66429814,0.780167498
196,Töv,Batsumber,2020,cover,4.192957379,76.54437694,0.845503476
197,Töv,Batsumber,2020,ht,1.28621307,10.53248196,0.781106062
198,Töv,Batsumber,2020,vol,5.656736526,32.28457147,0.793206088
199,Töv,Bayan,2020,cover,4.610979069,72.54710206,0.866180886
200,Töv,Bayan,2020,ht,1.106246927,9.243539016,0.828239781
201,Töv,Bayan,2020,vol,4.810973027,26.98595725,0.835250241
202,Töv,Bay_Unj,2020,cover,5.634317463,62.77043218,0.915885603
203,Töv,Bay_Unj,2020,ht,0.887826012,7.351846993,0.829502041
204,Töv,Bay_Unj,2020,vol,3.888178926,18.60692708,0.868095954
205,Töv,Bayanch,2020,cover,4.194663234,75.93709305,0.836922138
206,Töv,Bayanch,2020,ht,1.263935272,10.21773325,0.786940177
207,Töv,Bayanch,2020,vol,5.461057831,31.08267783,0.791646588
208,Töv,Bayand,2020,cover,3.109424597,75.69113114,0.788350651
209,Töv,Bayand,2020,ht,0.87170256,10.1512994,0.729392418
210,Töv,Bayand,2020,vol,3.766589485,30.75488034,0.737699031
211,Töv,Bayanj,2020,cover,3.267446546,75.11739494,0.842842246
212,Töv,Bayanj,2020,ht,0.899397554,9.842148231,0.805897956
213,Töv,Bayanj,2020,vol,3.921262549,29.65739928,0.817768158
214,Töv,Bayankh,2020,cover,4.616580224,67.54131899,0.882867672
215,Töv,Bayankh,2020,ht,1.087006515,8.002552513,0.856392999
216,Töv,Bayankh,2020,vol,4.447168195,21.78027211,0.867510005
217,Töv,Bayant,2020,cover,5.703952,62.61902567,0.918086775
218,Töv,Bayant,2020,ht,0.930396036,7.36787656,0.872083257
219,Töv,Bayant,2020,vol,4.11756081,18.64459289,0.89092196
220,Töv,Bayantsogt,2020,cover,5.052580227,70.85628202,0.877484726
221,Töv,Bayantsogt,2020,ht,1.297222507,8.824290458,0.841834286
222,Töv,Bayantsogt,2020,vol,5.462369185,25.18581774,0.844986817
223,Töv,Bornuur,2020,cover,4.568730159,75.09285525,0.852524735
224,Töv,Bornuur,2020,ht,1.349083604,10.09536659,0.813717881
225,Töv,Bornuur,2020,vol,5.821564333,30.36736046,0.815350646
226,Töv,Buren,2020,cover,4.968567869,59.79368022,0.899754754
227,Töv,Buren,2020,ht,0.707658109,7.139034643,0.776505267
228,Töv,Buren,2020,vol,3.045594919,17.16517099,0.840013415
229,Töv,Delger,2020,cover,4.615129645,58.40623692,0.887371222
230,Töv,Delger,2020,ht,0.550628004,7.079794244,0.680985473
231,Töv,Delger,2020,vol,2.370176913,16.58487466,0.789290437
232,Töv,Erdene,2020,cover,4.72164499,75.76165594,0.741007987
233,Töv,Erdene,2020,ht,1.368963721,10.22599901,0.682706201
234,Töv,Erdene,2020,vol,5.898476063,31.08440661,0.6882394
235,Töv,Erdenesant,2020,cover,5.092453586,67.84516283,0.898986571
236,Töv,Erdenesant,2020,ht,1.224346118,8.107889263,0.86984562
237,Töv,Erdenesant,2020,vol,5.06852651,22.21148382,0.879751278
238,Töv,Jargalant,2020,cover,4.587699021,74.63817042,0.887610838
239,Töv,Jargalant,2020,ht,1.348044598,9.95532719,0.853086298
240,Töv,Jargalant,2020,vol,5.811619331,29.79182146,0.853505381
241,Töv,Lun,2020,cover,5.349962885,64.69437527,0.925102697
242,Töv,Lun,2020,ht,1.046510833,7.612744645,0.871105745
243,Töv,Lun,2020,vol,4.413808702,19.8617759,0.892855564
244,Töv,Mungunmor,2020,cover,4.196246338,77.45251947,0.755209123
245,Töv,Mungunmor,2020,ht,1.314001716,10.50458163,0.702920362
246,Töv,Mungunmor,2020,vol,5.589317128,32.54494807,0.699505639
247,Töv,Undursh,2020,cover,5.525571422,62.15402931,0.907662653
248,Töv,Undursh,2020,ht,0.888953767,7.383484489,0.790217419
249,Töv,Undursh,2020,vol,3.858579862,18.48561894,0.835663444
250,Töv,Sergelen,2020,cover,4.59568179,72.28053287,0.876332742
251,Töv,Sergelen,2020,ht,1.115815718,9.093845863,0.845001416
252,Töv,Sergelen,2020,vol,4.773347768,26.45848776,0.853216587
253,Töv,Sumber,2020,cover,4.417672738,73.29203342,0.889840914
254,Töv,Sumber,2020,ht,1.250473298,9.570175046,0.862485137
255,Töv,Sumber,2020,vol,5.375600913,28.14231613,0.871519626
256,Töv,Tseel,2020,cover,4.443606818,73.58328187,0.89667565
257,Töv,Tseel,2020,ht,1.229584534,9.642997667,0.869530717
258,Töv,Tseel,2020,vol,5.318809653,28.54837728,0.874046614
259,Töv,Ugtaalts,2020,cover,5.100555526,68.1512893,0.913040656
260,Töv,Ugtaalts,2020,ht,1.253711828,8.24813317,0.891001147
261,Töv,Ugtaalts,2020,vol,5.114256134,22.66533437,0.897252195
262,Töv,Zaamar,2020,cover,6.240253776,68.60674088,0.895687325
263,Töv,Zaamar,2020,ht,1.416269831,8.489833629,0.86755348
264,Töv,Zaamar,2020,vol,5.943307182,23.5792074,0.875050749
265,Dundgovi,Adaatsag,2021,cover,4.92053872,59.36943129,0.867696019
266,Dundgovi,Adaatsag,2021,ht,0.676892837,6.99409672,0.76050171
267,Dundgovi,Adaatsag,2021,vol,2.883343707,16.68749301,0.816272366
268,Dundgovi,Bayanjar,2021,cover,2.306094503,54.6328327,0.873892957
269,Dundgovi,Bayanjar,2021,ht,0.313022213,6.983694651,0.643511197
270,Dundgovi,Bayanjar,2021,vol,1.256654842,15.2774931,0.776197795
271,Dundgovi,Delgerkh,2021,cover,3.557548626,55.00624351,0.904887516
272,Dundgovi,Delgerkh,2021,ht,0.35187009,6.674347115,0.811939469
273,Dundgovi,Delgerkh,2021,vol,1.39805239,14.69838802,0.848991748
274,Dundgovi,Delgert,2021,cover,5.130633417,58.63111712,0.897938662
275,Dundgovi,Delgert,2021,ht,0.634211904,6.949383897,0.786801252
276,Dundgovi,Delgert,2021,vol,2.837238026,16.37516931,0.844646239
277,Dundgovi,Deren,2021,cover,3.50153832,56.36356224,0.8857149
278,Dundgovi,Deren,2021,ht,0.457276021,7.027422781,0.71312055
279,Dundgovi,Deren,2021,vol,1.78160701,15.87170256,0.810827954
280,Dundgovi,Erdened,2021,cover,5.3608786,59.37520457,0.876149518
281,Dundgovi,Erdened,2021,ht,0.745010778,6.85198032,0.794843954
282,Dundgovi,Erdened,2021,vol,3.279136383,16.38437274,0.828627143
283,Dundgovi,Govi_Ugt,2021,cover,3.360931881,56.68767687,0.871866877
284,Dundgovi,Govi_Ugt,2021,ht,0.426800249,6.993004104,0.651950169
285,Dundgovi,Govi_Ugt,2021,vol,1.699821577,15.87503168,0.762364477
286,Dundgovi,Gurvansai,2021,cover,1.182904755,53.50513185,0.860855155
287,Dundgovi,Gurvansai,2021,ht,0.251738661,6.856229563,0.738840822
288,Dundgovi,Gurvansai,2021,vol,0.790049749,14.68414995,0.808352962
289,Dundgovi,Khuld,2021,cover,2.796105102,54.36845557,0.888046353
290,Dundgovi,Khuld,2021,ht,0.315322562,6.701115258,0.850448826
291,Dundgovi,Khuld,2021,vol,1.016689701,14.57247177,0.832233209
292,Dundgovi,Luus,2021,cover,3.271364484,55.19831776,0.820323645
293,Dundgovi,Luus,2021,ht,0.402142343,6.74777553,0.755126616
294,Dundgovi,Luus,2021,vol,1.600753413,14.92455714,0.805019757
295,Dundgovi,Ulziit,2021,cover,1.993654216,53.74857912,0.932199885
296,Dundgovi,Ulziit,2021,ht,0.277761553,6.883152488,0.814668167
297,Dundgovi,Ulziit,2021,vol,1.015329937,14.81238402,0.894088489
298,Dundgovi,Undurshil,2021,cover,1.118520225,53.67626355,0.873291787
299,Dundgovi,Undurshil,2021,ht,0.296848093,7.018377663,0.797467012
